店舗名,所在地区,住所（地名）,業種・カテゴリ,取扱品目
ファミリーマート 田辺東陽店,旧田辺地区,東陽,小売（食品）,コンビニエンスストア
ファミリーマート 田辺湊会津店,旧田辺地区,高雄,小売（食品）,コンビニエンスストア
ファミリーマート 田辺元町店,旧田辺地区,天神崎,小売（食品）,コンビニエンスストア
ファミリーマート 田辺文里店,旧田辺地区,文里,小売（食品）,コンビニエンスストア
VCOFFEE,旧田辺地区,高雄,小売（食品）,自家焙煎コーヒー豆
Ｖショップ 上秋津店,旧田辺地区,上秋津,小売（食品）,小売
Ｖショップ 紺屋町店,旧田辺地区,紺屋町,小売（食品）,食品
Ｖショップ 下三栖店,旧田辺地区,下三栖,小売（食品）,スーパーマーケット
Ｖショップ 八幡店,旧田辺地区,高雄,小売（食品）,スーパーマーケット
フォーエヴァー,旧田辺地区,下屋敷町,小売（食品）,お弁当
富美堂,旧田辺地区,北新町,小売（食品）,和菓子
プライスカット 田辺下万呂店,旧田辺地区,下万呂,小売（食品）,食品
フレッシュハウス 新万店,旧田辺地区,新万,小売（食品）,食品スーパー
豊年寿し,旧田辺地区,高雄,小売（食品）,寿し
干博食品,旧田辺地区,栄町,小売（食品）,削り節
リカーショップ マエダ,旧田辺地区,東陽,小売（食品）,ビール
松源 田辺店,旧田辺地区,稲成町,小売（食品）,食料品
マリブ シーサイド店,旧田辺地区,新庄町,小売（食品）,コーヒー
マリブ 洋菓子店,旧田辺地区,新庄町,小売（食品）,洋菓子
まるかんのお店 朝日ヶ丘店,旧田辺地区,朝日ヶ丘,小売（食品）,健康食品
マルサ 本店,旧田辺地区,福路町,小売（食品）,かまぼこ
マルシェ＋,旧田辺地区,今福町,小売（食品）,野菜・果物
まるぜん菓舗,旧田辺地区,湊,小売（食品）,和菓子
丸長水産（株）,旧田辺地区,上の山,小売（食品）,水産物販売
丸山酒店,旧田辺地区,上屋敷,小売（食品）,ビール
（有）湊米穀,旧田辺地区,湊,小売（食品）,お米
みなみ寿司,旧田辺地区,新屋敷町,小売（食品）,さんま寿司
村上食料品店,旧田辺地区,神子浜,小売（食品）,野菜・果物（食料品）
お茶とコーヒーの店 もりかわ,旧田辺地区,南新町,小売（食品）,珈琲
やおひろ,旧田辺地区,宝来町,小売（食品）,青果物
保田青果,旧田辺地区,湊,小売（食品）,果物
スーパー大和屋 東山店,旧田辺地区,東山,小売（食品）,食品
山根酒店,旧田辺地区,東山,小売（食品）,日本酒・焼酎
山彦商店,旧田辺地区,湊,小売（食品）,野菜・果物
お米と駄菓子のやままさ,旧田辺地区,上屋敷,小売（食品）,米
山丸商店,旧田辺地区,上の山,小売（食品）,鮮魚海産物
産直市場 よってって いなり本館,旧田辺地区,稲成町,小売（食品）,野菜と果物と花
全日本食品 ライフ 江川店,旧田辺地区,江川,小売（食品）,食料品
ロイヤルビーンズ,旧田辺地区,下屋敷町,小売（食品）,コーヒー豆
ローソン 田辺会津小学校前店,旧田辺地区,秋津町,小売（食品）,コンビニエンスストア
ローソン 田辺秋津町店,旧田辺地区,秋津町,小売（食品）,コンビニエンスストア
ローソン 田辺上の山店,旧田辺地区,上の山,小売（食品）,コンビニエンスストア
ローソン 田辺内之浦北店,旧田辺地区,新庄町,小売（食品）,コンビニエンスストア
ローソン 田辺海岸通店,旧田辺地区,上屋敷,小売（食品）,コンビニエンスストア
ローソン 田辺下三栖店,旧田辺地区,下三栖,小売（食品）,コンビニエンスストア
ローソン 田辺新庄店,旧田辺地区,新庄町,小売（食品）,コンビニエンスストア
ローソン 田辺高雄三丁目店,旧田辺地区,高雄,小売（食品）,コンビニエンスストア
ローソン 田辺たきない町店,旧田辺地区,たきない町,小売（食品）,コンビニエンスストア
ローソン 田辺バイパス店,旧田辺地区,新庄町,小売（食品）,コンビニエンスストア
ローソン 田辺宝来店,旧田辺地区,宝来町,小売（食品）,コンビニエンスストア
和歌桜,旧田辺地区,北新町,小売（食品）,うなぎ
avenir,旧田辺地区,下万呂,小売（衣料）,衣料品
アリスの部屋,旧田辺地区,下屋敷町,小売（衣料）,エプロン
いのうえ洋装店,旧田辺地区,今福町,小売（衣料）,生地
岩﨑商店,旧田辺地区,北新町,小売（衣料）,衣料品
ウエシバ洋品店,旧田辺地区,北新町,小売（衣料）,洋服
ブティック 恵美,旧田辺地区,高雄,小売（衣料）,婦人服
制服専門店 オザキ,旧田辺地区,今福町,小売（衣料）,学生服
靴のクスモト,旧田辺地区,片町,小売（衣料）,靴
COTYLE,旧田辺地区,湊,小売（衣料）,洋服
京呉服 さが乃,旧田辺地区,新庄町,小売（衣料）,呉服販売
サンアイ・コルディア,旧田辺地区,湊,小売（衣料）,婦人服
シューズショップ きりんや,旧田辺地区,宝来町,小売（衣料）,衣料
セレクトショップ Giraffe,旧田辺地区,宝来町,小売（衣料）,衣料品
杉原衣料,旧田辺地区,南新町,小売（衣料）,婦人服
2ND SECTION,旧田辺地区,栄町,小売（衣料）,婦人服
